id,text_cleaned,text
1372620648128864260,watching snydercut justiceleague hbomax hashtag person see,"RT @TheKloudXCVI: Watching #SnyderCut #JusticeLeague 😎 on #HBOMax (i’m a hashtag person now, see?)"
1372985696777027591,rm proud rm rm twt,"@iK00MlMI RM WE ARE SO PROUD OF YOU 
#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM @BTS_twt"
1372963810433064964,hi please play anyone justin bieber thank much mostrequestedlive,"Hi @OnAirRomeo @MostRequestLive, please can you play #Anyone       by Justin Bieber? Thank you very much! #MostRequestedLive d"
1362191578593304581,years ago thefugees released thescore album gem gone multiplatinum,"25 years ago #TheFugees released #TheScore. This album is a gem and has now gone 7x multi-platinum. 
#webcelebdaily… https://t.co/brVay5EBwR"
1362124060302462986,many oneoff events forced make tough decisions based alelevel uncertainty,Many one-off events forced to make tough decisions based on alert level uncertainty https://t.co/ZdcETxOUzm via… https://t.co/sqlylZhcAU
1372782687585325068,looks sir mumbaisagareview mumbaisaga mumbaisagaincinemas,"Looks @SunielVShetty sir 💪👌

#MumbaiSagaReview #MumbaiSaga #MumbaiSagaInCinemas https://t.co/GtVvSCPtBJ"
1362179600843902976,iu shows elegant charms first teaser album bylac iu bylac,"RT @KpopChingu__: IU Shows Off Her Elegant Charms In The First Teaser For The Album 'BYLAC' https://t.co/lRhyFklqjV 

#IU #BYLAC #아이유"
1372970712512786444,namjoon released mixtape years ago today rm,"Namjoon released his mixtape 6 years ago today #ThankyouforRM1 

#RM
 #6YearsOfRMixtape 
#RMixtape_6주년_축하해… https://t.co/j0eZmYUfHm"
1370042452803866625,news zero exclusive interview bts ahead grammys show air ntv saturday march,RT @modooborahae: News Zero has an exclusive interview with BTS ahead of the Grammys. The show will air on NTV on Saturday March 13 at 12 a…
1372963534372540426,bucky wanda sorry shit make ur pussy throb also thor sorry got good god dick,bucky and wanda... sorry but that shit make ur pussy THROB?😭 but also thor... sorry he got a good god dick
1362120285906817024,chloe grace moretz findjerry tomandjerrymovie contestalejoin,"@PaytmTickets Chloe Grace Moretz #FindJerry #TomAndJerryMovie #ContestAlert 
@PaytmTickets 

Join in… https://t.co/uuJs0PI0KH"
1372622847143768072,young kids taking pain panel show know apparent fortune glory,"Doing what all the young kids do and taking part in a panel show for, you know, the apparent fortune and glory.

An… https://t.co/EQRgyU98yp"
1372624924221788160,alright started completely forgot happened prior movie snydercut justiceleague,RT @lsirikul: Alright... I started and I completely forgot what happened prior to this movie. #SnyderCut #JusticeLeague #JusticeLeagueSnyde…
1372763197443215367,tutejatalks roohi stays crore mark thursday well brings crore despite,"#TutejaTalks - #Roohi stays over 1 crore mark on Thursday as well, brings in 1.02 crore. That too despite a thrilli… https://t.co/bVyZDygtb4"
1362184636777005057,behind scenes making music video go watch amp shop video live,"RT @Droppeverything: Behind the scenes 🎥⁣⁠ : The making of @DashGwoppo’s music video ""RACKATANZ""⁠. Go watch &amp; shop from the video 🚨 LIVE on…"
1372626737645944835,holy snackballs compare years ago released justiceleague zacksnydersjusticeleague really,Holy snackballs! If we compare 4 years ago released #JusticeLeague to #ZackSnydersJusticeLeague they really are dif… https://t.co/1MTkkRsM6v
1372786836423069696,mumabi saga movie download online leaked movierulz isaimini telegram channels mumbaisaga,"Mumabi saga Movie download online Leaked by Movierulz, Isaimini Telegram Channels
#mumbaisaga #MumbaiSagaReview… https://t.co/QCsftgxPqe"
1372963546707996675,exactly steve left traumatised friends tony built tech help trauma victims wanted bring bucky,RT @taharies: exactly steve left his traumatised friends. tony built tech to help trauma victims and wanted to bring bucky to a therapist.…
1372964409291591685,music charts rigged justin bieber release album already songs downloaded,These music charts are so rigged.. how did Justin bieber JUST release an album and I already have songs downloaded??
1372963673900081155,new post listen justin bieber features burna boy loved nigeria published,"New post (Listen: Justin Bieber Features Burna Boy In ""Loved by You"" |  Nigeria) has been published on The Relation… https://t.co/0Si7yA3Kct"
1362227691202613250,entertainment gamedev linux livestreaming supportsmallstreams smallstreamer watch donutdadgaming,"RT @donutdadgaming: #Entertainment
#gamedev
#Linux
#LiveStreaming
#SupportSmallStreams
#smallstreamer

Watch DonutDadGaming with me on Twit…"
1372964780584005641,instagram probably many people sharing martin luther king jr speech justin bieber new album,instagram is down 😭 probably too many people sharing the martin luther king jr. speech on justin bieber’s new album 🙏🏻🙌🏻
1372624238675423238,snydercut arrived batfleck back big way whos favorite live action batman,"The #SnyderCut has arrived, and #Batfleck is back in a big way!  So who's your favorite live action Batman of all t… https://t.co/fbhTKaSjfj"
1362208312729751554,jasonwarrior early lead contestant americanidol illustration looks great tees,"#JasonWarrior is an early lead contestant on #AmericanIdol 2021.  #illustration looks great on #tees, #hoodies… https://t.co/LAcezOSgxp"
1362200138412748800,rainy surprise got shocked already set timer bomb maybe celebrity tired lonely,"RT @November_Rainy_: What s surprise, I got shocked 😱
She already set timer for that BOMB!
Maybe Celebrity is tired being lonely 😆
I ready…"
1372975130914086914,happy years masterpiece rm rmixtape,"Happy 6 years for this masterpiece
#RMixtape_6주년_축하해 
#넌_RM냥_너를해줘 
#RMixtape
#6YearsOfRMixtape
#ThankyouforRM1… https://t.co/7LrN72uBJI"
1372964231478448141,music justin bieber loved ft burna boy,RT @yabaleftonline: Music: Justin Bieber – Loved By You Ft. Burna Boy » https://t.co/Gb3UsIBQu4
1372759566669115398,onewordreview mumbaisaga powerpacked rating actionpacked entertainer powerful,"#OneWordReview...
#MumbaiSaga: POWER-PACKED.
Rating: ⭐️⭐️⭐️½
Action-packed entertainer with powerful dialogue...… https://t.co/1h6ijMOV9w"
1362129582942343170,cinema c chloe grace moretz indian wedding n new york city e electric shock major,"@PaytmTickets CINEMA 

C - Chloe Grace Moretz
I - Indian wedding
N - New York City
E - Electric shock
M - Major Com… https://t.co/cQ9Zm3ITzT"
1372984419410132994,rm proud love u rm,"RM WE ARE SO PROUD OF YOU
I love u💜

#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou… https://t.co/YzkcYjs6Ru"
1372962798569975811,not know could love bucky already went bought flowers,i didn't know i could love bucky any more than i already did but then he went and bought those flowers
1372964210473373702,instagram probably many people sharing martin luther king jr interlude justin bieber new album,instagram is down 😭 probably too many people sharing the martin luther king jr. interlude on justin bieber’s new album 🙏🏻🙌🏻
1362150615904739329,kourtney kardashian confirms relationship travis barker entertainment,Kourtney Kardashian Confirms Relationship With Travis Barker https://t.co/u5RxRLrxkF #entertainment
1372986004794003458,happy years amazing masterpiece omo fave theonlyoneever,"Happy 6 years to the amazing masterpiece RM1!!!! Omo 6 is my fave no. (•ω•)
#TheOnlyOneEver
#DoYouRM… https://t.co/qEt553D3lA"
1372776866654818315,samosa critics not stop audience watching movie roohi janhvikapoor,"Samosa critics can't stop audience from watching the movie
#Roohi #JanhviKapoor"
1362187740377477127,truth datruth thetruth walker walkercw cwwalker texasrangerwalker walkertexasranger chucknorris,The Truth #datruth #thetruth #walker #walkercw #cwwalker #texasrangerwalker #walkertexasranger #chucknorris #jarpad… https://t.co/9evZyYpZXv
1372979144473116680,army twt love thanks joone rm rm,"@ARAB1_ARMY @BTS_twt I love you 
Thanks for you joone

RM
#RMixtape_6주년_축하해 
#넌_RM냥_너를해줘 
#RMixtape… https://t.co/fP8Mwo5Mkr"
1362109412127608832,cineplex fighting brother household spoin india dekhiye thefightermansingham starring offl,"RT @Colors_Cineplex: Fighting your brother is a household sport in India
Dekhiye #TheFightermanSingham starring @Suriya_offl  and #Anushkas…"
1372627593812271106,oh yeah thesnydercut justiceleague today okay know watching tonight probably tomorrow,Oh yeah. #TheSnyderCut of #JusticeLeague is out today. Okay. I know what I'm watching tonight (and probably into tomorrow).
1362161691467907079,wwe draft remembering return roster refresh entertainment,WWE Draft (2016) - Remembering the Return of the Roster Refresh - https://t.co/YPoD0Nciwl - #Entertainment https://t.co/oQUhmBiNKT
1372965284714319878,za justin bieber slaps banna,RT @Draper_ZA: Justin Bieber slaps banna 😭😭😭
1362168409387982848,omg not wait see tom action best stressreleasemachine full laughter,RT @virdiparaminder: OMG 👌👌👌😁😁😁😁Can't wait to see Tom in action again. The best #stressreleasemachine and full with #laughter #TomAndJerryM…
1372619828448612359,need sequall ughh grrrrr zsjl justiceleaguesnydercut justiceleague,@ZackSnyder WE NEED A SEQUALL UGHH GRRRRR #ZSJL #JusticeLeagueSnyderCut #JusticeLeague
1372963565771034629,happy birthday bucky barnesssssss bucky buckybarnes happybirthdaybuckybarnes,"RT @Mintmintdoodles: Happy Birthday, Bucky Barnesssssss 🥰 

#bucky #buckybarnes  #HappyBirthdayBuckyBarnes https://t.co/rvUykeI9SB"
1362118742847590400,xfinite provides premium digital entertainment platform cost,"#Xfinite provides a premium #digital #entertainment platform, with a #cost"
1372980644758781955,charts jungwoo trending twitter japan jungwoo nct,"RT @jungwoo_charts: Jungwoo trending No.9 now in twitter Japan 

#JUNGWOO #정우 #NCT정우 #ジョンウ #NCT127_MusicStation #NCT127_祝Mステ初出演 https://t.c…"
1372623119098208268,bucky sleeping floor waking alone night nightmare know going,bucky sleeping on the floor waking up alone at night after a nightmare 💔💔 I know I’m going to cry… https://t.co/sHubqzOXTy
1372980009414107136,rmixes listen monster bts soundcloud,"#6YearsOfRMixtape
#ThankyouforRM1
#RMixtape_6주년_축하해
#RMixes
Listen to Monster by BTS on #SoundCloud
https://t.co/gFabxlKCMN"
1372975438323011586,not believe years thread soo detailed rmixtape,"Can't believe it's been 6 Years
The Thread was soo detailed💜

#6YearsOfRMixtape 
#RMixtape #넌_RM냥_너를해줘… https://t.co/e7th6DoJWf"
1362193879286444034,iuaena lets go lets stream celebrity music platform vote iu voting site,I-Uaena lets go lets stream  Celebrity in all music platform and vote IU in all of voting site that she's nominated… https://t.co/IgAkuLl980
1370042371505745921,thank much seokjin masterpiece jin seokjin bts twt,"RT @ppiyyav: @skskntaa thank you so much seokjin for this masterpiece 💙

#100DaysWithAbyss #JIN #진 #SEOKJIN #김석진 #BTS #방탄소년단진 @BTS_twt"
1372626845598838784,preorders open find sideshowcollectibles hottoys collectibles,"RT @collectsideshow: Pre-orders are open!

Find them at https://t.co/ZrlOoJg2WL

#SideshowCollectibles  #HotToys #Collectibles #SixthScale…"
1372971980039856133,rm proud rm rm twt,"@W0OYOOBI RM WE ARE SO PROUD OF YOU 
#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM 
@BTS_twt..."
1362197822263545857,thoughts released celebrity suddenly disappeared celebrity keeps getting paks despite artists comeback,RT @joyous_thoughts: Released Celebrity then suddenly disappeared. Celebrity keeps getting PAKs despite other artists’ comeback. While 10y/…
1372964759226712067,new justin bieber flames hmmmm,This new Justin Bieber is flames hmmmm
