id,text_cleaned,text
1362077795220926465,coop independent india post test nationalism,"@Amul_Coop When you were in independent India. (2013)

Just post it now to  test your nationalism.

 #petrol100 https://t.co/2Jt5xF773H"
1373318731305086978,home minister facing allegations running multi crore extortion racket using police,Home Minister who is facing allegations of running a multi crore extortion racket using the police as his collectio… https://t.co/4PrPPc1NoT
1373168620709191682,honorable sri ji welcome kharagpur west bengal modirsatheiasolporiborton,"RT @RajibKabirajbjp: Honorable  sri @narendramodi ji.
Most welcome in Kharagpur West Bengal💐💐🙏
#ModirSatheiAsolPoriborton 
@SuPriyoBabul @B…"
1373169053632655367,one stop us winning myfarmermypride,"RT @iavdeep_: No one can stop us from winning

#MyFarmer_MyPride https://t.co/PNgpAxC5oC"
1372622395001991175,thank much wonderful feedback weare happy benefiting service,🥰Thank you all very much for your wonderful feedback we're happy that you are benefiting from our Service / program… https://t.co/JT00S3jF4j
1362093995057246208,rise petrolprice dieselprice taxed heavily india,"Rise in #PetrolPrice  and #dieselprice is only because they are taxed heavily in India? 

Is it the only reason?… https://t.co/7hmW25Cf8r"
1373321460291301376,shocking maharashtra home minister anildeshmukh allegedly asked sachinvaze collect rs crore,"RT @PMCBankCrisis: @AnilSinghvi_ Shocking!

Maharashtra Home Minister #AnilDeshmukh allegedly asked #SachinVaze to collect Rs 100 Crore for…"
1362098476348100611,understand sir even years fault congress becoj modi sarkar not,"@news24tvchannel We understand sir. Even After 6 years,  its fault of #Congress, becoj its Modi Sarkar not our Govt… https://t.co/vVjvM7hD1B"
1372622531056730114,russia recalled ambassador us consultations following biden calling putin killer jen,"RT @kaitlancollins: After Russia recalled its ambassador to the U.S. for ""consultations"" following Biden calling Putin a killer, Jen Psaki…"
1362088219945230337,sir waiting tweet petrolpricehike cylinderpricehike tweet,"@akshaykumar sir waiting for your tweet on #petrol100 #PetrolPriceHike #CylinderPriceHike , you can tweet in these… https://t.co/WVOs6OPszb"
1372623111711944704,mppsc mpcm shivrajsinghchouhan please not play student lives bcoz u never,"RT @chauhans197: #STAYMPPSCMAINS2019 #MPPSC #mpcm #ShivrajSinghChouhan 
  
Please don't play with the student lives
   Bcoz u Never underst…"
1373317553821380610,haha baramati businessman taken delhi pappu maharashtra pappu,Haha. Baramati businessman @pawarspeaks had taken both Delhi pappu @RahulGandhi and Maharashtra pappu @OfficeofUT a… https://t.co/SCxBEVnBD3
1372623315718840322,lies government crooks vaccine data falsified suit boris still needs haircut,"RT @QuantumShift3: 1. Lies
2. The Government are crooks
3. Vaccine data is falsified to suit
4. Boris still needs a haircut
5. He is satani…"
1362093925666725889,petrol rs pm blames prev govt not cutting impodependence not understand raised mid,Petrol at Rs 100: PM blames prev Govt for not cutting import dependence- don't understand raised this mid 2nd term.… https://t.co/Fp82n426N6
1362079379820404736,seriously not able bear high prices worst pm modihaitomehangaihai,"RT @saddamalikhan20: Seriously not able to bear these high prices...   Worst PM

#ModiHaiToMehangaiHai"
1373319068908851204,maharashtra home minister filing defamation suit parambirsingh,RT @singhvarun: Maharashtra Home Minister @AnilDeshmukhNCP will be filing a defamation suit against #ParambirSingh
1372623395809071104,periodic reminder andrew cuomos good last year manufactured media not,"Your periodic reminder that all of Andrew Cuomo's good will last year was manufactured by the media, and not by his… https://t.co/ou9uCzg2aZ"
1372623148080885762,amazing new half price offer looking simple explanations big ideas well look,"☀️AMAZING NEW HALF PRICE OFFER☀️
Looking for simple explanations of big ideas? Well, look no further! Our brand-new… https://t.co/apmmuO87qy"
1372885116616273925,wonderfull four years leadership yogi ji,RT @dineshbjp09: WONDERFULL FOUR YEARS OF UP UNDER LEADERSHIP OF YOGI JI  #योगीजी_के_4_साल_बेमिसाल
1362087547531259905,mitch mcconnell attempts balancing act moving past trump winning back senate majority,"Mitch McConnell attempts balancing act of moving past Trump, winning back Senate majority https://t.co/Z7I9fZyKFo… https://t.co/BoukgVBgqs"
1362084315815813121,petrol consume quicker become begger thanks namaste,"More petrol we consume, quicker we become begger. Thanks, Namaste ! #petrol100"
1362088142929424387,petrol diesel prices touching new highs every daythis common man end,As the petrol and diesel prices are touching new highs every day.This is what a common man can do from his end Pers… https://t.co/djV8mqaLLw
1372907685985755140,nehru amp patel united therewould one india pak not picture time despite churchill gassing,RT @subyroy: @RoyalFamily 19. Nehru &amp; Patel united there'd be one India (Pak not in the picture at the time) despite Churchill gassing on a…
1373168928164225028,whole world proud braving harsh winters delhi protesting farmers set beat,"RT @tarsem_pb03: The whole world is proud that after braving harsh winters of Delhi, our protesting farmers, are all set to beat the heat.…"
1372911796768575493,get see made india labels without supporting,"RT @PolitikKarma: പപ്പു എന്നും പപ്പു തന്നെ.

@RahulGandhi - how will you get to see more ""Made In India"" labels without supporting industri…"
1373168478228676611,neglect disrespect people west bengal suffered last years not forgotten,The neglect and disrespect that the people of West Bengal have suffered in the last 10 years cannot be forgotten. W… https://t.co/ZTMAKxs4wG
1362088138630307843,trend alert modihaitomehangaihai modihaitomehangaihai today pm modihaitomehangaihai,"📢 *Trend Alert* 🔔

*#ModiHaiToMehangaiHai*
*#ModiHaiToMehangaiHai*

 👉 Today 5 PM 👆👇

*#ModiHaiToMehangaiHai*
*… https://t.co/7KWdR7sjlx"
